"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE","fine_clean_simulations","nonzero",100,"elastic_net",1,1359.54275961933,0.8925,1,3.08464231339503,0.46539075355762,0.4005,814.395805832148,2.59608072860185,0.435393235425012,0.364
"Beta_SSE1","fine_clean_simulations","nonzero",100,"group_lasso",1,1359.54275961933,0.8925,1,3.08464231339503,0.46539075355762,0.4005,814.395805832148,2.59608072860185,0.435393235425012,0.364
"Beta_SSE2","fine_clean_simulations","nonzero",100,"elastic_net",10,1348.296873747,0.84,1,2.98433169891777,0.460947243708359,0.3845,793.510475815423,2.45853601707103,0.42915461901731,0.3685
"Beta_SSE11","fine_clean_simulations","nonzero",100,"group_lasso",10,1348.296873747,0.84,1,2.98433169891777,0.460947243708359,0.3845,793.510475815423,2.45853601707103,0.42915461901731,0.3685
"Beta_SSE3","fine_clean_simulations","nonzero",100,"elastic_net",11,1336.48166231886,0.855,1,2.91943468731101,0.452226783665246,0.3775,790.918936639208,2.39197153318251,0.416298448914114,0.356
"Beta_SSE12","fine_clean_simulations","nonzero",100,"group_lasso",11,1336.48166231886,0.855,1,2.91943468731101,0.452226783665246,0.3775,790.918936639208,2.39197153318251,0.416298448914114,0.356
"Beta_SSE4","fine_clean_simulations","nonzero",100,"elastic_net",12,1292.99502870805,0.8275,1,2.98560895398894,0.456516338403177,0.3775,718.435505584689,2.45427056733309,0.419826426838627,0.362
"Beta_SSE13","fine_clean_simulations","nonzero",100,"group_lasso",12,1292.99502870805,0.8275,1,2.98560895398894,0.456516338403177,0.3775,718.435505584689,2.45427056733309,0.419826426838627,0.362
"Beta_SSE5","fine_clean_simulations","nonzero",100,"elastic_net",13,1450.93339726822,0.775,1,3.16429930794374,0.468244304639808,0.364,808.244251599805,2.40166657525694,0.423072134871032,0.353
"Beta_SSE14","fine_clean_simulations","nonzero",100,"group_lasso",13,1450.93339726822,0.775,1,3.16429930794374,0.468244304639808,0.364,808.244251599805,2.40166657525694,0.423072134871032,0.353
"Beta_SSE6","fine_clean_simulations","nonzero",100,"elastic_net",14,1402.41929939732,0.88,1,3.0398717735477,0.464286287490817,0.3915,834.429659201046,2.54354116727113,0.432697376185985,0.3795
"Beta_SSE15","fine_clean_simulations","nonzero",100,"group_lasso",14,1402.41929939732,0.88,1,3.0398717735477,0.464286287490817,0.3915,834.429659201046,2.54354116727113,0.432697376185985,0.3795
"Beta_SSE7","fine_clean_simulations","nonzero",100,"elastic_net",15,1358.20005541607,0.855,1,3.12596782755177,0.464334907215678,0.376,801.500676168613,2.61603205939701,0.433201907630699,0.363
"Beta_SSE16","fine_clean_simulations","nonzero",100,"group_lasso",15,1358.20005541607,0.855,1,3.12596782755177,0.464334907215678,0.376,801.500676168613,2.61603205939701,0.433201907630699,0.363
